ZCTA,Counties,Population Density (People per Square Kilometer),Median Value of Owner Occupied Units (Dollars)
01431,Middlesex County,52.09692998485877,272500
01432,Middlesex County,372.5679078768859,335900
01434,Middlesex County|Worcester County,97.95225242746079,329000
01436,Worcester County,137.73833820412395,245900
01438,Worcester County,492.2687644767445,184400
01440,Worcester County,339.93087856826793,192500
01450,Middlesex County,133.11911265613173,487100
01451,Worcester County,100.1817066112405,617200
01452,Worcester County,40.703132315754395,289400
01453,Worcester County,640.8743452559369,261700
01460,Middlesex County,237.07713928103092,476800
01462,Worcester County,171.42149293064028,326400
01463,Middlesex County,198.72886716610924,364700
01464,Middlesex County,189.54741579521303,307700
01468,Worcester County,75.7631875199375,258800
01469,Middlesex County,126.02063315909918,299900
01473,Worcester County,89.47728011380578,303100
01474,Middlesex County,72.13910229363003,312800
01475,Worcester County,93.01696611768543,220300
01501,Worcester County,423.4419659005078,274800
01503,Worcester County,93.99104924250001,438200
01504,Worcester County,319.9625718847276,287400
01505,Worcester County,116.59582510481962,441300
01506,Worcester County,85.51534008187541,225900
01507,Worcester County,121.8844505932752,317800
01510,Worcester County,1053.784971856947,269700
01515,Worcester County,87.05442392850546,255000
01516,Worcester County,94.40847826479703,336600
01518,Worcester County,100.19298190434618,330500
01519,Worcester County,262.2552921140369,385300
01520,Worcester County,336.24674021255663,344200
01521,Hampden County,81.82814963165231,251000
01522,Worcester County,85.27150407511141,300200
01523,Worcester County,117.9086189201741,369500
01524,Worcester County,160.79621252426426,286700
01525,Worcester County,2212.7246824891636,-
01527,Worcester County,341.97598178196625,291800
01529,Worcester County,252.06073949093738,332300
01531,Worcester County,18.52207319722486,304400
01532,Worcester County,328.9432302204311,451100
01534,Worcester County,252.95023040872465,354700
01535,Worcester County,85.95660892228149,250500
01536,Worcester County,338.86075321430667,361200
01537,Worcester County,121.3829538079749,260700
01540,Worcester County,222.9725154844832,271900
01541,Worcester County,38.0853045220856,393700
01542,Worcester County,216.83195138858596,277400
01543,Worcester County,99.46744411537783,326100
01545,Worcester County,712.8663312186169,434000
01550,Worcester County,338.440432528399,214500
01560,Worcester County,530.7074874956927,371600
01561,Worcester County,655.8721049395368,-
01562,Worcester County,140.94258432567085,281100
01564,Worcester County,100.69989770857731,367500
01566,Worcester County,103.37104870307417,290400
01568,Worcester County,143.76603275612607,483800
01569,Worcester County,186.50779753844662,336100
01570,Worcester County,555.41137717213,260000
01571,Worcester County,220.94097093335355,274300
01581,Worcester County,404.10976653315697,482400
01583,Worcester County,234.92008465105175,300400
01585,Worcester County,67.37329364997288,263000
01588,Worcester County,482.0908450729085,310700
01590,Worcester County,110.32622164175287,365900
01602,Worcester County,1681.2952557692433,254800
01603,Worcester County,1910.7134196656111,213100
01604,Worcester County,2403.900580571587,237600
01605,Worcester County,1995.237325210163,228800
01606,Worcester County,1395.9400845056002,244700
01607,Worcester County,1196.436258065866,217900
01608,Worcester County,4006.065227658529,253300
01609,Worcester County,2468.2820074753686,325400
01610,Worcester County,5199.600791175109,190400
01611,Worcester County,257.27089698961413,246700
01612,Worcester County,127.77880317885128,349000
01701,Middlesex County,754.5444758645559,455700
01702,Middlesex County,1858.1038744722107,385900
01718,Middlesex County,1927.0305243875796,248900
01719,Middlesex County,206.702150160365,586200
01720,Middlesex County,457.13489641119,598700
01721,Middlesex County,589.3391637185887,418600
01730,Middlesex County,451.9337885662862,695400
01731,Middlesex County,256.89396854263146,-
01740,Worcester County,109.65943399626735,578100
01741,Middlesex County,132.3795166294785,855000
01742,Middlesex County,296.8016133204244,907700
01745,Worcester County,428.77442801194235,409700
01746,Middlesex County,310.39471025814987,466500
01747,Worcester County,448.9064349771302,354600
01748,Middlesex County,276.16568663280196,608600
01749,Middlesex County,672.9784128072763,370500
01752,Middlesex County,773.5596271802789,365200
01754,Middlesex County,797.1781823995689,367700
01756,Worcester County,135.3029221259991,519200
01757,Worcester County,777.568276459287,333000
01760,Middlesex County,957.6009190920871,601700
01770,Middlesex County,107.62841389148518,790500
01772,Worcester County,284.07895290602244,638200
01773,Middlesex County,157.39022004300256,996200
01775,Middlesex County,160.14083841056632,514100
01776,Middlesex County,299.51187189509926,754200
01778,Middlesex County,363.0016827999749,736700
01801,Middlesex County,1242.680701534298,486600
01803,Middlesex County,893.1712818131467,588600
01810,Essex County,450.6128516945958,637600
01821,Middlesex County,719.2511076208762,421700
01824,Middlesex County,574.6136006236036,450800
01826,Essex County|Middlesex County,607.2491004580496,340600
01827,Middlesex County,78.7860805876963,499200
01830,Essex County,767.0941258987074,327000
01832,Essex County,872.2413573701964,316000
01833,Essex County,253.19972496669115,461400
01834,Essex County,293.57476495322544,409600
01835,Essex County,720.5739837895075,311500
01840,Essex County,5385.8796319056455,120200
01841,Essex County,6806.691804935392,289500
01843,Essex County,3243.4271855402603,276100
01844,Essex County,925.4718093546943,350100
01845,Essex County,465.7175045190899,523200
01850,Middlesex County,4729.483206788213,265700
01851,Middlesex County,3909.334437336745,302500
01852,Middlesex County,2850.107100297869,292000
01854,Middlesex County,2881.98261217148,259600
01860,Essex County,305.4283379164999,384800
01862,Middlesex County,484.6566934523941,404700
01863,Middlesex County,826.4169875142225,355400
01864,Middlesex County,456.4509305565403,578100
01867,Middlesex County,988.8906531506137,594000
01876,Essex County|Middlesex County,576.5220037254387,421700
01879,Middlesex County,284.89954987345374,417200
01880,Middlesex County,1415.2658518166309,557800
01886,Middlesex County,314.30943295108096,556100
01887,Middlesex County,531.1294059981022,495500
01890,Middlesex County,1470.3608036248331,968000
01901,Essex County,3976.9751076089187,281100
01902,Essex County,8264.469542435954,338200
01904,Essex County,1813.6300518426842,390300
01905,Essex County,3514.2027667526872,334600
01906,Essex County,954.367851099007,433200
01907,Essex County,1934.7765223273313,505900
01908,Essex County,1196.5663498553283,582600
01913,Essex County,545.4759903085821,351400
01915,Essex County,1150.5514242085355,463000
01921,Essex County,135.2160331818149,673200
01922,Essex County,133.46518023761402,553700
01923,Essex County,818.3011994587464,451100
01929,Essex County,100.22873371632826,611700
01930,Essex County,438.1446049040716,435200
01937,Essex County,528.5077056423482,-
01938,Essex County,165.7829020883294,508200
01940,Essex County,510.5786838112189,699100
01944,Essex County,225.6912437528601,851800
01945,Essex County,1783.4251454752668,705600
01949,Essex County,280.7803644051927,573100
01950,Essex County,845.6576526838846,608300
01951,Essex County,96.6733439285375,559900
01952,Essex County,231.9608380989197,368900
01960,Essex County,1305.5829867408893,419800
01965,Essex County,144.47535465625626,-
01966,Essex County,386.3402636617586,543200
01969,Essex County,130.6968893482714,498600
01970,Essex County,2082.2214934480826,379400
01982,Essex County,207.1119829860415,565600
01983,Essex County,213.1610340591355,638100
01984,Essex County,251.00577494768783,638600
01985,Essex County,129.2056659613186,585900
02019,Norfolk County,356.67531373640514,325000
02021,Norfolk County,501.931954009769,540500
02025,Norfolk County,331.0628214713418,867000
02026,Norfolk County,953.519567639552,482300
02030,Norfolk County,151.48939679085967,993100
02032,Norfolk County,801.3532351189876,496600
02035,Norfolk County,362.0334026663533,451500
02038,Norfolk County,482.08050763319505,432800
02043,Plymouth County,422.5260929272262,842000
02045,Plymouth County,1454.5017638288864,425900
02047,Plymouth County,248.3585574585221,684200
02048,Bristol County,458.2370686593923,420100
02050,Plymouth County,348.4543025729288,464200
02052,Norfolk County,342.95402575212546,701200
02053,Norfolk County,438.92370752948773,425800
02054,Norfolk County,271.460727285644,446200
02056,Norfolk County,302.2426184587876,529300
02061,Plymouth County,209.38077135610547,628400
02062,Norfolk County,1156.9707459996284,455300
02066,Plymouth County,434.41304983261375,607800
02067,Norfolk County,315.7711333443475,573800
